[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | NOTIC: [8] Undefined variable: userId UserModel.class.php 第 20 行.
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_template ] --START--
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001280s ]
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.001334s ]
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_parse ] --START--
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Run ParseTemplate Behavior [ RunTime:0.010522s ]
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010575s ]
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_filter ] --START--
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Run ContentReplace Behavior [ RunTime:0.000770s ]
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Run TokenBuild Behavior [ RunTime:0.000711s ]
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000596s ]
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000747s ]
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002959s ]
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_end ] --START--
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000739s ]
[ 2012-09-28T03:42:16+08:00 ] /taodandan/Index/index.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000787s ]
[ 2012-09-28T03:42:07+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-09-28T03:42:07+08:00 ] /taodandan/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000929s ]
[ 2012-09-28T03:42:07+08:00 ] /taodandan/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001001s ]
[ 2012-09-28T03:42:16+08:00 ] /taodandan/index.php | NOTIC: [2] Missing argument 1 for UserModel::__construct(), called in C:\xampp\htdocs\taodandan\top\Lib\Action\IndexAction.class.php on line 21 and defined UserModel.class.php 第 17 行.
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.010912s ]
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | NOTIC: [8] Undefined variable: userId UserModel.class.php 第 20 行.
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Tag[ view_template ] --START--
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.003452s ]
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.003611s ]
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-28T03:42:17+08:00 ] /taodandan/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.020408s ]
