[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001294s ]
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000352s ]
[ 2012-06-29T13:50:51+08:00 ] /top/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000412s ]
[ 2012-06-29T13:50:52+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:50:52+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000684s ]
[ 2012-06-29T13:50:52+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000775s ]
[ 2012-06-29T13:50:52+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:50:52+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000404s ]
[ 2012-06-29T13:50:52+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000466s ]
[ 2012-06-29T13:50:52+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:50:52+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:50:52+08:00 ] /top/admin.php/index/login | SQL: SHOW COLUMNS FROM `sk_admin_user` [ RunTime:0.000566s ]
[ 2012-06-29T13:50:52+08:00 ] /top/admin.php/index/login | SQL: SELECT * FROM `sk_admin_user` WHERE user_name = admin  [ RunTime:0.000112s ]
[ 2012-06-29T13:51:28+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --START--
[ 2012-06-29T13:51:28+08:00 ] /top/admin.php/index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000922s ]
[ 2012-06-29T13:51:28+08:00 ] /top/admin.php/index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001032s ]
[ 2012-06-29T13:51:28+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --START--
[ 2012-06-29T13:51:28+08:00 ] /top/admin.php/index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000559s ]
[ 2012-06-29T13:51:28+08:00 ] /top/admin.php/index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000638s ]
[ 2012-06-29T13:51:28+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-06-29T13:51:28+08:00 ] /top/admin.php/index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
